generation,screen_tier,screen_targets,best_hash,best_fitness,best_mean_rank,best_top15,best_top20,unique_population
0,tier1_small,80,117ca5be3cbde8d5,0.24981455371232666,24.3275,0.3775,0.4725,40
1,tier1_small,80,42f19f705a11b5ae,0.2618733772417385,24.305,0.3725,0.475,40
2,tier1_small,80,0a343da9c8c11512,0.2627042595946797,24.3325,0.37,0.4675,40
3,tier2_medium,200,f749e2ea392d03a7,0.19688073018291494,24.384,0.344,0.442,40
4,tier3_full,470,a0cc0d3088813a37,0.09985976647828423,24.98851063829787,0.32382978723404254,0.4225531914893617,40
5,tier3_full,470,e8fbc3b4c9459875,0.10011884032058711,24.63531914893617,0.32638297872340427,0.4148936170212766,40
